position x; position y; time
15,22024;-3,329834;6,619995
15,33912;-3,329834;6,639995
15,41632;-3,329834;6,659995
15,57441;-3,329834;6,679995
15,6124;-3,329834;6,699995
15,80849;-3,329834;6,719995
15,92736;-3,329834;6,739995
16,00564;-3,329834;6,759995
16,16265;-3,329834;6,779994
16,20172;-3,329834;6,799994
16,39794;-3,329834;6,819994
16,4013;-3,329834;6,839994
16,60188;-3,329834;6,859994
16,75089;-3,329834;6,879994
16,79797;-3,329834;6,899994
16,98618;-3,329834;6,919994
16,98734;-3,32539;6,939994
17,02036;-3,237181;6,959994
17,05619;-3,185807;6,979994
17,07154;-3,169556;6,999994
17,12565;-3,112748;7,019994
17,12951;-3,108754;7,039994
17,18838;-3,048101;7,059994
17,23114;-3,004486;7,079994
17,24723;-2,988186;7,099994
17,30199;-2,932837;7,119994
17,3063;-2,928506;7,139994
17,36555;-2,869002;7,159994
17,4087;-2,825798;7,179994
17,42491;-2,809611;7,199994
17,48001;-2,754611;7,219994
17,48486;-2,749788;7,239994
17,54435;-2,690531;7,259994
17,58712;-2,647972;7,279994
17,60388;-2,63131;7,299994
17,65858;-2,576937;7,319994
17,66343;-2,572118;7,339994
17,72355;-2,512406;7,359994
17,76582;-2,47043;7,379994
17,78313;-2,45324;7,399994
17,83733;-2,399444;7,419994
17,84014;-2,395575;7,439994
17,88512;-2,34476;7,459994
17,92732;-2,302722;7,479994
17,94461;-2,285504;7,499994
17,99874;-2,231646;7,519994
18,00414;-2,22628;7,539994
18,06369;-2,167079;7,559994
18,10594;-2,125103;7,579994
18,12326;-2,107903;7,599994
18,17744;-2,054104;7,619994
18,18318;-2,0484;7,639994
18,24278;-1,989244;7,659994
18,28471;-1,947629;7,679994
18,30238;-1,930094;7,699994
18,35623;-1,876655;7,719994
18,36207;-1,870859;7,739994
18,42176;-1,811635;7,759994
18,46352;-1,770201;7,779994
18,4825;-1,751371;7,799994
18,53505;-1,699236;7,819993
18,54211;-1,692231;7,839993
18,60172;-1,633091;7,859993
18,64235;-1,59279;7,879993
18,66141;-1,57388;7,899993
18,71388;-1,521827;7,919993
18,72102;-1,514745;7,939993
18,78063;-1,455611;7,959993
18,82118;-1,415383;7,979993
18,83093;-1,405145;7,999993
18,85959;-1,369588;8,019994
18,86856;-1,360668;8,039994
18,92935;-1,30028;8,059995
18,96682;-1,263069;8,079995
18,98893;-1,24111;8,099996
19,03832;-1,192078;8,119996
19,04852;-1,18195;8,139997
19,10812;-1,1228;8,159997
19,1456;-1,085611;8,179997
19,16772;-1,06366;8,199998
19,21712;-1,014639;8,219998
19,22814;-1,003709;8,239999
19,28775;-0,9445648;8,259999
19,32441;-0,9081888;8,28
19,34736;-0,8854249;8,3
19,39594;-0,8372242;8,320001
19,40707;-0,8261835;8,340001
19,46668;-0,7670485;8,360002
19,50324;-0,7307789;8,380002
19,53385;-0,700415;8,400002
19,57478;-0,659816;8,420003
19,59347;-0,6412725;8,440003
19,64631;-0,5888534;8,460004
19,65308;-0,5821366;8,480004
19,71269;-0,5229985;8,500005
19,75361;-0,4824098;8,520005
19,77237;-0,4638021;8,540006
19,82514;-0,4114473;8,560006
19,83198;-0,4046658;8,580007
19,91375;-0,3408547;8,600007
20,03847;-0,3361501;8,620008
20,10655;-0,3361501;8,640008
20,27377;-0,3361501;8,660008
20,30264;-0,3361501;8,680009
20,49872;-0,3361501;8,700009
20,62671;-0,3361501;8,72001
20,6948;-0,3361501;8,74001
20,862;-0,3361501;8,760011
20,89132;-0,3361501;8,780011
21,08742;-0,3361501;8,800012
21,21494;-0,3361501;8,820012
21,2835;-0,3361501;8,840013
21,45024;-0,3361501;8,860013
21,47983;-0,3361501;8,880013
21,67592;-0,3361501;8,900014
21,80318;-0,3361501;8,920014
21,87367;-0,3361501;8,940015
22,03848;-0,3361501;8,960015
22,06975;-0,3361501;8,980016
